time,lat,lon,sog,cog,boat_class,tag,tag_name,heel,clew_load,pitch,rudder
2020-03-25 21:52:42+00:00,33.746611,-118.117401,0.0,0.0,Gigi and Adra,0,0,,,,
2020-03-25 21:52:43+00:00,33.746596,-118.117401,3.31,0.9388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:52:44+00:00,33.746586,-118.117397,2.39,-0.9888888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:52:45+00:00,33.746586,-118.117398,0.13,-0.4555555555555555,Gigi and Adra,0,0,,,,
2020-03-25 21:52:46+00:00,33.746578,-118.117399,1.76,0.95,Gigi and Adra,0,0,,,,
2020-03-25 21:52:47+00:00,33.746573,-118.117398,1.23,0.8777777777777778,Gigi and Adra,0,0,,,,
2020-03-25 21:52:48+00:00,33.746566,-118.117395,1.55,0.8166666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:52:49+00:00,33.746562,-118.117389,1.53,0.95,Gigi and Adra,0,0,,,,
2020-03-25 21:52:50+00:00,33.746559,-118.117388,0.62,0.5388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:52:51+00:00,33.746469,-118.117359,20.62,-0.9722222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:52:52+00:00,33.746488,-118.117372,4.79,-0.12222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:52:53+00:00,33.746501,-118.117382,3.42,0.16666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:52:54+00:00,33.746502,-118.117372,2.03,0.37222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:52:55+00:00,33.746505,-118.117365,1.24,0.2833333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:52:56+00:00,33.746505,-118.117361,0.78,0.16666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:52:57+00:00,33.746505,-118.117361,0.13,-0.7833333333333334,Gigi and Adra,0,0,,,,
2020-03-25 21:52:58+00:00,33.746508,-118.117361,0.81,0.11666666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:52:59+00:00,33.746509,-118.117359,0.37,-0.48888888888888893,Gigi and Adra,0,0,,,,
2020-03-25 21:53:00+00:00,33.746517,-118.117364,2.05,-0.12777777777777777,Gigi and Adra,0,0,,,,
2020-03-25 21:53:01+00:00,33.746522,-118.117369,1.44,-0.13888888888888884,Gigi and Adra,0,0,,,,
2020-03-25 21:53:02+00:00,33.746528,-118.117372,1.53,-0.0888888888888888,Gigi and Adra,0,0,,,,
2020-03-25 21:53:03+00:00,33.746530,-118.117375,0.53,-0.31666666666666665,Gigi and Adra,0,0,,,,
2020-03-25 21:53:04+00:00,33.746530,-118.117377,0.53,0.03333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:53:05+00:00,33.746529,-118.117377,0.24,-0.6499999999999999,Gigi and Adra,0,0,,,,
2020-03-25 21:53:06+00:00,33.746533,-118.117381,0.99,-0.13888888888888884,Gigi and Adra,0,0,,,,
2020-03-25 21:53:07+00:00,33.746532,-118.117383,0.49,-0.6222222222222222,Gigi and Adra,0,0,,,,
2020-03-25 21:53:08+00:00,33.746531,-118.117386,0.58,-0.8277777777777777,Gigi and Adra,0,0,,,,
2020-03-25 21:53:09+00:00,33.746531,-118.117387,0.12,-0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:53:10+00:00,33.746531,-118.117389,0.45,-0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:53:11+00:00,33.746531,-118.117390,0.27,-0.6944444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:53:12+00:00,33.746530,-118.117392,0.34,-0.6444444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:53:13+00:00,33.746530,-118.117393,0.31,-0.6333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:53:14+00:00,33.746528,-118.117395,0.57,-0.8722222222222222,Gigi and Adra,0,0,,,,
2020-03-25 21:53:15+00:00,33.746525,-118.117397,0.55,-0.9944444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:53:16+00:00,33.746523,-118.117397,0.39,-0.8944444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:53:17+00:00,33.746522,-118.117398,0.33,-0.8888888888888888,Gigi and Adra,0,0,,,,
2020-03-25 21:53:18+00:00,33.746521,-118.117398,0.22,-0.7555555555555555,Gigi and Adra,0,0,,,,
2020-03-25 21:53:19+00:00,33.746521,-118.117399,0.26,-0.711111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:53:20+00:00,33.746520,-118.117401,0.27,-0.6666666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:53:21+00:00,33.746520,-118.117402,0.31,-0.7388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:22+00:00,33.746518,-118.117403,0.33,-0.8111111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:53:23+00:00,33.746518,-118.117404,0.27,-0.6722222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:53:24+00:00,33.746517,-118.117406,0.29,-0.7333333333333334,Gigi and Adra,0,0,,,,
2020-03-25 21:53:25+00:00,33.746516,-118.117407,0.37,-0.8,Gigi and Adra,0,0,,,,
2020-03-25 21:53:26+00:00,33.746514,-118.117408,0.5,-0.75,Gigi and Adra,0,0,,,,
2020-03-25 21:53:27+00:00,33.746512,-118.117411,0.6,-0.9388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:28+00:00,33.746511,-118.117411,0.36,-0.8444444444444446,Gigi and Adra,0,0,,,,
2020-03-25 21:53:29+00:00,33.746510,-118.117413,0.29,-0.7666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:53:30+00:00,33.746509,-118.117414,0.29,-0.7333333333333334,Gigi and Adra,0,0,,,,
2020-03-25 21:53:31+00:00,33.746508,-118.117415,0.33,-0.5444444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:53:32+00:00,33.746512,-118.117421,1.33,-0.22777777777777786,Gigi and Adra,0,0,,,,
2020-03-25 21:53:33+00:00,33.746515,-118.117426,1.05,-0.18333333333333335,Gigi and Adra,0,0,,,,
2020-03-25 21:53:34+00:00,33.746516,-118.117428,0.5,-0.34444444444444455,Gigi and Adra,0,0,,,,
2020-03-25 21:53:35+00:00,33.746517,-118.117430,0.42,-0.30000000000000004,Gigi and Adra,0,0,,,,
2020-03-25 21:53:36+00:00,33.746518,-118.117432,0.51,-0.09444444444444455,Gigi and Adra,0,0,,,,
2020-03-25 21:53:37+00:00,33.746519,-118.117433,0.36,0.022222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:53:38+00:00,33.746520,-118.117433,0.24,-0.17222222222222228,Gigi and Adra,0,0,,,,
2020-03-25 21:53:39+00:00,33.746521,-118.117434,0.21,0.4166666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:53:40+00:00,33.746523,-118.117430,0.82,0.1388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:41+00:00,33.746524,-118.117429,0.38,0.35,Gigi and Adra,0,0,,,,
2020-03-25 21:53:42+00:00,33.746524,-118.117426,0.54,0.40555555555555556,Gigi and Adra,0,0,,,,
2020-03-25 21:53:43+00:00,33.746525,-118.117425,0.24,0.2,Gigi and Adra,0,0,,,,
2020-03-25 21:53:44+00:00,33.746527,-118.117424,0.44,0.07777777777777778,Gigi and Adra,0,0,,,,
2020-03-25 21:53:45+00:00,33.746527,-118.117423,0.13,0.4388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:46+00:00,33.746528,-118.117422,0.32,-0.2055555555555555,Gigi and Adra,0,0,,,,
2020-03-25 21:53:47+00:00,33.746530,-118.117423,0.47,0.23333333333333334,Gigi and Adra,0,0,,,,
2020-03-25 21:53:48+00:00,33.746534,-118.117421,1.01,0.03333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:53:49+00:00,33.746537,-118.117420,0.59,0.1388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:50+00:00,33.746539,-118.117418,0.63,-0.1333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:53:51+00:00,33.746542,-118.117420,0.64,-0.22777777777777786,Gigi and Adra,0,0,,,,
2020-03-25 21:53:52+00:00,33.746542,-118.117423,0.61,-0.46666666666666656,Gigi and Adra,0,0,,,,
2020-03-25 21:53:53+00:00,33.746544,-118.117428,1.02,-0.3944444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:53:54+00:00,33.746546,-118.117433,1.01,-0.288888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:53:55+00:00,33.746545,-118.117437,0.66,-0.711111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:53:56+00:00,33.746547,-118.117438,0.56,-0.10000000000000009,Gigi and Adra,0,0,,,,
2020-03-25 21:53:57+00:00,33.746551,-118.117439,0.93,0.016666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:53:58+00:00,33.746554,-118.117439,0.6,0.044444444444444446,Gigi and Adra,0,0,,,,
2020-03-25 21:53:59+00:00,33.746556,-118.117438,0.53,0.09444444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:54:00+00:00,33.746559,-118.117437,0.66,0.14444444444444443,Gigi and Adra,0,0,,,,
2020-03-25 21:54:01+00:00,33.746562,-118.117435,0.77,0.06111111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:02+00:00,33.746565,-118.117434,0.67,0.17777777777777778,Gigi and Adra,0,0,,,,
2020-03-25 21:54:03+00:00,33.746570,-118.117431,1.14,0.011111111111111112,Gigi and Adra,0,0,,,,
2020-03-25 21:54:04+00:00,33.746572,-118.117431,0.56,0.2111111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:05+00:00,33.746572,-118.117428,0.53,0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:54:06+00:00,33.746573,-118.117427,0.29,0.38333333333333336,Gigi and Adra,0,0,,,,
2020-03-25 21:54:07+00:00,33.746574,-118.117423,0.73,0.4722222222222222,Gigi and Adra,0,0,,,,
2020-03-25 21:54:08+00:00,33.746575,-118.117420,0.67,0.3388888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:54:09+00:00,33.746580,-118.117416,1.32,0.06666666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:54:10+00:00,33.746584,-118.117415,1.02,0.044444444444444446,Gigi and Adra,0,0,,,,
2020-03-25 21:54:11+00:00,33.746587,-118.117414,0.66,0.16666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:54:12+00:00,33.746587,-118.117411,0.45,0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:54:13+00:00,33.746585,-118.117408,0.7,-0.9944444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:54:14+00:00,33.746586,-118.117408,0.15,0.2222222222222222,Gigi and Adra,0,0,,,,
2020-03-25 21:54:15+00:00,33.746586,-118.117408,0.21,-0.1333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:54:16+00:00,33.746588,-118.117408,0.38,-0.14444444444444438,Gigi and Adra,0,0,,,,
2020-03-25 21:54:17+00:00,33.746588,-118.117409,0.22,0.45,Gigi and Adra,0,0,,,,
2020-03-25 21:54:18+00:00,33.746587,-118.117407,0.38,0.7444444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:54:19+00:00,33.746588,-118.117406,0.32,-0.05555555555555558,Gigi and Adra,0,0,,,,
2020-03-25 21:54:20+00:00,33.746586,-118.117406,0.48,-0.9222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:54:21+00:00,33.746580,-118.117407,1.22,1.0,Gigi and Adra,0,0,,,,
2020-03-25 21:54:22+00:00,33.746577,-118.117407,0.73,0.9944444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:54:23+00:00,33.746574,-118.117407,0.69,0.9666666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:54:24+00:00,33.746571,-118.117406,0.6,0.9777777777777777,Gigi and Adra,0,0,,,,
2020-03-25 21:54:25+00:00,33.746566,-118.117406,1.08,0.9611111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:26+00:00,33.746563,-118.117405,0.83,-0.9944444444444445,Gigi and Adra,0,0,,,,
2020-03-25 21:54:27+00:00,33.746559,-118.117406,0.74,-0.9833333333333334,Gigi and Adra,0,0,,,,
2020-03-25 21:54:28+00:00,33.746555,-118.117406,0.93,0.9722222222222222,Gigi and Adra,0,0,,,,
2020-03-25 21:54:29+00:00,33.746552,-118.117405,0.71,-0.8888888888888888,Gigi and Adra,0,0,,,,
2020-03-25 21:54:30+00:00,33.746548,-118.117407,0.88,0.8444444444444444,Gigi and Adra,0,0,,,,
2020-03-25 21:54:31+00:00,33.746537,-118.117404,2.53,0.9888888888888889,Gigi and Adra,0,0,,,,
2020-03-25 21:54:32+00:00,33.746534,-118.117404,0.79,-0.961111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:33+00:00,33.746533,-118.117405,0.17,-0.6277777777777778,Gigi and Adra,0,0,,,,
2020-03-25 21:54:34+00:00,33.746530,-118.117406,0.74,-0.7166666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:54:35+00:00,33.746525,-118.117412,1.6,-0.9111111111111112,Gigi and Adra,0,0,,,,
2020-03-25 21:54:36+00:00,33.746519,-118.117414,1.38,-0.9333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:54:37+00:00,33.746518,-118.117416,0.36,-0.5611111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:38+00:00,33.746517,-118.117418,0.56,-0.7666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:54:39+00:00,33.746517,-118.117421,0.48,0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:54:40+00:00,33.746516,-118.117421,0.19,-0.8611111111111112,Gigi and Adra,0,0,,,,
2020-03-25 21:54:41+00:00,33.746516,-118.117421,0.14,-0.37222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:54:42+00:00,33.746516,-118.117423,0.28,-0.8111111111111111,Gigi and Adra,0,0,,,,
2020-03-25 21:54:43+00:00,33.746520,-118.117423,1.01,-0.08333333333333326,Gigi and Adra,0,0,,,,
2020-03-25 21:54:44+00:00,33.746520,-118.117425,0.33,0.5166666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:54:45+00:00,33.746521,-118.117423,0.41,0.26666666666666666,Gigi and Adra,0,0,,,,
2020-03-25 21:54:46+00:00,33.746524,-118.117421,0.79,-0.1333333333333333,Gigi and Adra,0,0,,,,
2020-03-25 21:54:47+00:00,33.746525,-118.117423,0.43,0.36666666666666664,Gigi and Adra,0,0,,,,
2020-03-25 21:54:48+00:00,33.746525,-118.117421,0.53,0.5222222222222223,Gigi and Adra,0,0,,,,
2020-03-25 21:54:49+00:00,33.746526,-118.117416,0.83,0.45555555555555555,Gigi and Adra,0,0,,,,
2020-03-25 21:54:50+00:00,33.746528,-118.117411,1.22,-0.1166666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:54:51+00:00,33.746528,-118.117412,0.29,0.5,Gigi and Adra,0,0,,,,
2020-03-25 21:54:52+00:00,33.746529,-118.117410,0.43,0.4166666666666667,Gigi and Adra,0,0,,,,
2020-03-25 21:54:53+00:00,33.746532,-118.117405,0.99,0.05555555555555555,Gigi and Adra,0,0,,,,
2020-03-25 21:54:54+00:00,33.746534,-118.117405,0.51,0.31666666666666665,Gigi and Adra,0,0,,,,
